,image_name,cam,moon,celsius,fahr,date
7416,TF_ACULEI_3349_DSCF3567.jpg,1,,17°C,,
7417,TF_ACULEI_11301_DSCF0174.jpg,4,,20°C,68°F,25/05/2022
7418,TF_ACULEI_777_DSCF0629.jpg,1,,,,2021/05/26
7419,TF_ACULEI_14070_DSCF0066.jpg,7,,0°C,32°F,25/01/2023
7420,TF_ACULEI_4913_DSCF5193.jpg,1,,,,2021/06/20
7421,TF_ACULEI_7525_DSCF7871.jpg,,,,,
7422,TF_ACULEI_1100_DSCF0956.jpg,1,,,,2021/05/27
7423,TF_ACULEI_4811_DSCF5082.jpg,1,,18°C,,2021/06/18
7424,TF_ACULEI_12044_DSCF0041.jpg,5,,7°C,44°F,22/09/2022
7425,TF_ACULEI_2958_DSCF3008.jpg,1,,,,2021/06/10
7426,TF_ACULEI_14590_DSCF0111.jpg,4,,4°C,25°F,2023/02/06
7427,TF_ACULEI_7069_IMAG0010.jpg,,,,,
7428,TF_ACULEI_6426_DSCF6778.jpg,,,21°C,,2021/06/26
7429,TF_ACULEI_11719_DSCF0025.jpg,4,,15°C,59°F,28/07/2022
7430,TF_ACULEI_13024_DSCF0456.jpg,5,,8°C,46°F,26/12/2022
7431,TF_ACULEI_7574_DSCF7915.jpg,,,21°C,,2021/07/09
7432,TF_ACULEI_12660_IMAG0191.jpg,,,,,
7433,TF_ACULEI_4494_DSCF4758.jpg,1,,20°C,,2021/06/17
7434,TF_ACULEI_8822_DSCF0898.jpg,1,,,,2021/07/30
7435,TF_ACULEI_11055_DSCF0055.jpg,,,,,
7436,TF_ACULEI_2074_DSCF2079.jpg,,,,,2021/06/08
7437,TF_ACULEI_5053_DSCF5340.jpg,,,,,2021/06/20
7438,TF_ACULEI_9666_DSCF0007.jpg,1,,,,2021/11/09
7439,TF_ACULEI_14036_DSCF0802.jpg,6,,,32°F,24/01/2023
7440,TF_ACULEI_3218_DSCF3266.jpg,1,,,,
7441,TF_ACULEI_5986_DSCF6305.jpg,1,,20°C,,2021/06/22
7442,TF_ACULEI_4424_DSCF4688.jpg,1,,20°C,,2021/06/17
7443,TF_ACULEI_12291_DSCF0201.jpg,4,,14°C,57°F,2022/10/08
7444,TF_ACULEI_4865_DSCF5136.jpg,1,,18°C,,2021/06/18
7445,TF_ACULEI_1908_DSCF1884.jpg,1,,15°C,,2021/06/07
7446,TF_ACULEI_9485_DSCF0300.jpg,1,,8°C,,2021/10/11
7447,TF_ACULEI_7330_DSCF7676.jpg,1,,20°C,,2021/07/03
7448,TF_ACULEI_7146_DSCF7492.jpg,1,,19°C,,2021/07/03
7449,TF_ACULEI_14634_DSCF0222.jpg,6,,6°C,22°F,10/02/2023
7450,TF_ACULEI_1722_DSCF1644.jpg,1,,,,2021/06/04
7451,TF_ACULEI_771_DSCF0625.jpg,,,,,2021/05/26
7452,TF_ACULEI_12766_DSCF0112.jpg,5,,2°C,35°F,25/11/2022
7453,TF_ACULEI_7995_DSCF0084.jpg,,,25°C,,2021/07/22
7454,TF_ACULEI_271_DSCF0024.jpg,1,,,,2021/05/17
7455,TF_ACULEI_12896_DSCF0258.jpg,5,,,32°F,11/12/2022
7456,TF_ACULEI_14686_DSCF0175.jpg,4,,8°C,46°F,2023/02/15
7457,TF_ACULEI_14982_DSCF0099.jpg,4,,9°C,48°F,2023/03/08
7458,TF_ACULEI_12402_DSCF0102.jpg,7,,9°C,48°F,18/10/2022
7459,TF_ACULEI_10303_IMAG0101.jpg,,,,,
